imageUrl;title;description;wikipediaLink
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Asser%20Benjamin%20Kleerekoper%20%28cropped%29.jpg;Asser Benjamin Kleerekoper;Dutch politician (1880-1943);https://nl.wikipedia.org/wiki/Asser_Benjamin_Kleerekoper
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Bernardus%20Reinierus%20Franciscus%20van%20Vlijmen.jpg;Bernardus Reinierus Franciscus van Vlijmen;politician (1843-1919);https://nl.wikipedia.org/wiki/Bernardus_Reinierus_Franciscus_van_Vlijmen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Abraham%20Jacobus%20Frederik%20Fokker%20van%20Crayestein%20van%20Rengerskerke.jpg;Abraham Jacobus Frederik Fokker van Crayestein van Rengerskerke;Dutch politician (1857-1929);https://nl.wikipedia.org/wiki/Abraham_Jacobus_Frederik_Fokker_van_Crayestein_van_Rengerskerke
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Adriaan%20Gerhard.jpg;Adriaan Gerhard;Dutch teacher and politician (1858-1948);https://nl.wikipedia.org/wiki/Adriaan_Gerhard
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Walther%20Simon%20Joseph%20van%20Waterschoot%20van%20der%20Gracht.jpg;Walther Simon Joseph van Waterschoot van der Gracht;politician;https://nl.wikipedia.org/wiki/Walther_Simon_Joseph_van_Waterschoot_van_der_Gracht
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Piet%20Aalberse.jpg;Piet Aalberse;Dutch politician (1871–1948);https://nl.wikipedia.org/wiki/Piet_Aalberse_(1871-1948)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Abraham%20Kuyper.jpg;Abraham Kuyper;Prime Minister of the Netherlands (1837–1920);https://nl.wikipedia.org/wiki/Abraham_Kuyper
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Alexander%20de%20Savornin%20Lohman.jpg;Alexander de Savornin Lohman;Dutch politician (1837-1924);https://nl.wikipedia.org/wiki/Alexander_de_Savornin_Lohman
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Kornelis%20Eland.jpg;Kornelis Eland;politician (1838-1927);https://nl.wikipedia.org/wiki/Kornelis_Eland
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Rienk%20van%20Veen.jpg;Rienk van Veen;Dutch lawyer and politician (1865–1929);https://nl.wikipedia.org/wiki/Rienk_van_Veen
