Date;Full institution name;Commons category;Commons category URL;Category depth;Total images available;Distinct images used;Image reuse percentage;Distinct articles;Number of languages;Total usages;Average image reuse;HTML URL;Excel URL
04-09-2024;Stedelijk Museum Schiedam;Stedelijk Museum Schiedam;https://commons.wikimedia.org/wiki/Category:Stedelijk_Museum_Schiedam;0;23;4;17,39;3;2;7;1,75;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/StedelijkMuseumSchiedam_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/StedelijkMuseumSchiedam_Wikipedia_NS0_04092024.xlsx
04-09-2024;Nationaal Jenevermuseum Schiedam;Jenevermuseum (Schiedam);https://commons.wikimedia.org/wiki/Category:Jenevermuseum_(Schiedam);0;10;1;10,00;3;1;3;3,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Jenevermuseum(Schiedam)_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Jenevermuseum(Schiedam)_Wikipedia_NS0_04092024.xlsx
04-09-2024;De Museumfabriek;De Museumfabriek;https://commons.wikimedia.org/wiki/Category:De_Museumfabriek;0;9;1;11,11;3;2;3;3,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/DeMuseumfabriek_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/DeMuseumfabriek_Wikipedia_NS0_04092024.xlsx
04-09-2024;Archivo Nacional Aruba;Archivo Nacional Aruba;https://commons.wikimedia.org/wiki/Category:Archivo_Nacional_Aruba;0;1;1;100,00;3;2;3;3,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ArchivoNacionalAruba_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ArchivoNacionalAruba_Wikipedia_NS0_04092024.xlsx
04-09-2024;Herinneringscentrum Kamp Westerbork;Memorials Kamp Westerbork;https://commons.wikimedia.org/wiki/Category:Memorials_Kamp_Westerbork;1;183;2;1,09;2;1;2;1,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MemorialsKampWesterbork_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MemorialsKampWesterbork_Wikipedia_NS0_04092024.xlsx
04-09-2024;Stadsarchief Breda;Stadsarchief (Breda);https://commons.wikimedia.org/wiki/Category:Stadsarchief_(Breda);1;110;1;0,91;2;2;2;2,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Stadsarchief(Breda)_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Stadsarchief(Breda)_Wikipedia_NS0_04092024.xlsx
04-09-2024;Batavialand;Batavialand;https://commons.wikimedia.org/wiki/Category:Batavialand;0;2;2;100,00;2;2;2;1,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Batavialand_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Batavialand_Wikipedia_NS0_04092024.xlsx
04-09-2024;Chabot Museum;Chabot Museum;https://commons.wikimedia.org/wiki/Category:Chabot_Museum;1;15;1;6,67;1;1;1;1,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ChabotMuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ChabotMuseum_Wikipedia_NS0_04092024.xlsx
04-09-2024;Het Flevolands Archief;Images from Flevolands Archief;https://commons.wikimedia.org/wiki/Category:Images_from_Flevolands_Archief;0;13;1;7,69;1;1;1;1,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromFlevolandsArchief_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromFlevolandsArchief_Wikipedia_NS0_04092024.xlsx
04-09-2024;Nederlands Fotomuseum;Files from the Nederlands Fotomuseum;https://commons.wikimedia.org/wiki/Category:Files_from_the_Nederlands_Fotomuseum;0;7;1;14,29;1;1;1;1,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/FilesfromtheNederlandsFotomuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/FilesfromtheNederlandsFotomuseum_Wikipedia_NS0_04092024.xlsx
04-09-2024;Expatriate Archive Centre;Expatriate Archive Centre;https://commons.wikimedia.org/wiki/Category:Expatriate_Archive_Centre;0;5;3;60,00;1;1;3;1,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ExpatriateArchiveCentre_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ExpatriateArchiveCentre_Wikipedia_NS0_04092024.xlsx
04-09-2024;Speelgoedmuseum Kinderwereld Roden;Speelgoedmuseum (Roden, Noordenveld);https://commons.wikimedia.org/wiki/Category:Speelgoedmuseum_(Roden,_Noordenveld);0;3;3;100,00;1;1;3;1,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Speelgoedmuseum(Roden,Noordenveld)_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Speelgoedmuseum(Roden,Noordenveld)_Wikipedia_NS0_04092024.xlsx
